p,C,gamma,accuracy
0.7,1.0,scale,0.7507246376811594
0.35,1.0,scale,0.7501449275362319
0.5,1.0,scale,0.7501449275362319
0.8,1.0,scale,0.7489855072463768
0.5,1.0,auto,0.7478260869565218
0.7,1.0,auto,0.7460869565217392
0.85,1.0,auto,0.7460869565217392
0.7,10.0,auto,0.7414492753623189
0.8,10.0,scale,0.7379710144927536
0.85,10.0,auto,0.7373913043478261
0.5,10.0,auto,0.7356521739130435
0.35,10.0,scale,0.7333333333333333
0.5,10.0,scale,0.7252173913043478
0.7,10.0,scale,0.7228985507246377
0.35,0.1,scale,0.72
0.5,0.1,scale,0.7147826086956521
0.7,0.1,scale,0.7118840579710145
0.8,0.1,scale,0.7101449275362319
0.5,10.0,0.1,0.6828985507246377
0.7,10.0,0.1,0.6823188405797102
0.85,10.0,0.1,0.6817391304347826
0.5,1.0,0.1,0.6788405797101449
0.85,1.0,0.1,0.6788405797101449
0.7,1.0,0.1,0.6788405797101449
0.5,1.0,1,0.6655072463768116
0.5,10.0,1,0.6655072463768116
0.7,1.0,1,0.6655072463768116
0.7,10.0,1,0.6655072463768116
0.85,1.0,1,0.6655072463768116
0.85,10.0,1,0.6655072463768116
